COMM_NAME,COMM_CODE,COMM_WT,Index:2012-13,Index:2013-14,Index:2014-15,Index:2015-16,Index:2016-17,Index:2017-18,Index:2018-19,Index:2019-20,Index:2020-21,Index:2021-22,Index:2022-23
ALL COMMODITIES,1000000000,100.0,109.0,113.65,112.1,110.0,112.85,116.9,120.5,121.8,129.2,145.35000000000002,152.5
I    PRIMARY ARTICLES,1100000000,22.61756,116.05000000000001,123.80000000000001,124.5,126.25,129.55,131.75,137.7,144.0,150.39999999999998,168.05,176.8
(A).  FOOD ARTICLES,1101000000,15.25585,116.6,127.15,132.6,137.3,141.55,142.75,148.3,158.10000000000002,162.25,172.55,179.5
a.  FOOD GRAINS (CEREALS+PULSES),1101010000,3.46238,118.9,126.15,131.3,143.55,148.5,143.05,151.95,160.1,160.25,168.75,178.6
a1. CEREALS,1101010100,2.82378,119.19999999999999,128.3,129.9,135.60000000000002,143.14999999999998,145.45,155.65,161.45,158.14999999999998,167.14999999999998,178.9
Paddy,1101010101,1.43052,119.35,132.7,135.35,137.85,145.8,151.75,157.3,161.95,162.8,164.9,170.7
Wheat,1101010102,1.02823,119.35,124.5,124.9,133.55,141.3,142.14999999999998,153.0,158.1,154.3,168.95,184.9
Jowar,1101010103,0.06764,97.75,106.55000000000001,115.05,117.0,126.0,123.15,143.15,159.85,148.95,154.4,180.1
Bajra,1101010104,0.08637,126.45,132.3,129.1,143.55,149.95,138.7,169.95,183.35,159.3,186.2,213.0
Maize,1101010105,0.18927,119.9,120.8,120.1,131.25,133.1,124.0,152.89999999999998,163.35000000000002,144.35000000000002,165.95,187.2
Barley,1101010106,0.01437,116.9,121.7,127.25,139.6,150.25,142.6,158.95,167.65,157.3,195.5,233.5
Ragi,1101010107,0.00738,154.8,163.75,160.6,169.6,220.5,223.35,219.0,222.75,229.25,226.45,218.4
a2. PULSES,1101010200,0.6386,117.9,116.4,137.65,178.85,172.0,132.4,135.4,154.2,169.64999999999998,175.95,177.1
Gram,1101010201,0.26377,125.10000000000001,105.4,117.85,173.15,200.85,149.0,140.75,147.25,159.45,165.5,163.7
Arhar,1101010202,0.12914,113.1,120.45,152.1,196.45,151.1,115.6,131.45,155.35000000000002,171.10000000000002,180.35,188.4
Moong,1101010203,0.07088,114.1,130.95,154.55,156.64999999999998,125.9,115.05,127.55,154.9,168.3,166.3,167.3
Masur,1101010204,0.05299,121.95,139.9,168.5,186.05,160.4,128.4,129.10000000000002,147.55,171.7,197.4,200.3
Urad,1101010205,0.09165,97.1,109.1,143.45,196.05,170.6,120.0,124.9,165.95,187.39999999999998,181.4,181.7
